Event,Timestamp,Framecount,SessionID,Email,BCIState,BCIConfidence,InputNumber,BCIThresholdBuffer,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal
BCIStateUpdated,2021-05-04 11:22:55.1955,1,745ef8309d751ad5d6d10e52deacc145,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-05-04 11:22:58.2001,11,745ef8309d751ad5d6d10e52deacc145,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-05-04 11:22:58.2257,12,745ef8309d751ad5d6d10e52deacc145,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-04 11:22:59.1535,78,745ef8309d751ad5d6d10e52deacc145,anonymous,ReceivingData,0.3079,1,(0.308 0.214 0.249 0.276 0.275 0.274 0.280 0.296 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-04 11:23:00.7822,195,745ef8309d751ad5d6d10e52deacc145,anonymous,ReceivingData,0.1982,1,(0.219 0.201 0.198 0.314 0.295 0.275 0.243 0.224 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-04 11:23:02.0774,287,745ef8309d751ad5d6d10e52deacc145,anonymous,ReceivingData,0.2784,2,(0.277 0.278 0.210 0.243 0.254 0.253 0.266 0.242 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-04 11:23:04.4857,460,745ef8309d751ad5d6d10e52deacc145,anonymous,ReceivingData,0.1903,2,(0.190 0.289 0.264 0.260 0.253 0.241 0.230 0.216 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-04 11:23:05.3767,524,745ef8309d751ad5d6d10e52deacc145,anonymous,ReceivingData,0.2077,3,(0.206 0.222 0.236 0.226 0.208 0.218 0.212 0.208 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-04 11:23:07.1717,653,745ef8309d751ad5d6d10e52deacc145,anonymous,ReceivingData,0.1764,3,(0.310 0.267 0.258 0.233 0.201 0.176 0.349 0.342 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-04 11:23:08.5781,753,745ef8309d751ad5d6d10e52deacc145,anonymous,ReceivingData,0.2767,4,(0.257 0.256 0.261 0.275 0.277 0.233 0.243 0.244 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-04 11:23:11.3900,955,745ef8309d751ad5d6d10e52deacc145,anonymous,ReceivingData,0.1981,4,(0.212 0.204 0.201 0.198 0.230 0.223 0.223 0.217 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-04 11:23:11.8082,985,745ef8309d751ad5d6d10e52deacc145,anonymous,ReceivingData,0.2535,5,(0.215 0.232 0.243 0.253 0.218 0.217 0.210 0.202 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-04 11:23:14.3569,1168,745ef8309d751ad5d6d10e52deacc145,anonymous,ReceivingData,0.1911,5,(0.290 0.269 0.254 0.239 0.210 0.191 0.323 0.296 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2021-05-04 11:23:18.8778,1492,745ef8309d751ad5d6d10e52deacc145,anonymous,NULL,NULL,NULL,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
MotorImagery,2021-05-04 11:23:21.7342,1697,745ef8309d751ad5d6d10e52deacc145,anonymous,ReceivingData,0.5304,6,(0.528 0.530 0.298 0.325 0.347 0.442 0.496 0.517 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-04 11:23:24.8091,1918,745ef8309d751ad5d6d10e52deacc145,anonymous,ReceivingData,0.1932,6,(0.305 0.303 0.271 0.227 0.210 0.193 0.301 0.301 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-04 11:23:26.8565,2065,745ef8309d751ad5d6d10e52deacc145,anonymous,ReceivingData,0.3561,7,(0.246 0.256 0.310 0.321 0.324 0.369 0.367 0.356 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-04 11:23:27.8864,2139,745ef8309d751ad5d6d10e52deacc145,anonymous,ReceivingData,0.1922,7,(0.201 0.192 0.256 0.260 0.253 0.236 0.220 0.203 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-04 11:23:29.0284,2221,745ef8309d751ad5d6d10e52deacc145,anonymous,ReceivingData,0.3242,8,(0.280 0.314 0.309 0.319 0.324 0.205 0.230 0.248 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2021-05-04 11:23:30.8534,2352,745ef8309d751ad5d6d10e52deacc145,anonymous,NULL,NULL,NULL,NULL,Open,0,0.0000,0.0000,Running,0.6349,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
