Event,Timestamp,Framecount,SessionID,Email,BCIState,BCIConfidence,InputNumber,BCIThresholdBuffer,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal
MotorImagery,2020-12-03 12:58:55.1403,3164,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.5973,6,(0.582 0.597 0.602 0.680 0.650 0.645 0.622 0.574 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 12:58:55.8919,3217,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.5668,6,(0.708 0.676 0.666 0.591 0.567 0.727 0.702 0.708 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-03 12:58:56.3936,3253,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.6881,7,(0.711 0.748 0.770 0.737 0.737 0.688 0.576 0.629 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 12:58:56.9356,3292,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.5540,7,(0.636 0.631 0.651 0.630 0.613 0.614 0.602 0.554 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2020-12-03 12:59:00.6268,3555,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Open,1,0.0000,0.0000,Running,3.0684,29,0.0333,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
MotorImagery,2020-12-03 12:59:03.2999,3746,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.7923,8,(0.772 0.792 0.621 0.724 0.739 0.771 0.776 0.786 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2020-12-03 12:59:03.2999,3746,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Closed,1,-3.3255,0.0000,Running,3.0684,29,0.0333,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
GameDecision,2020-12-03 12:59:03.3009,3746,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Closed,1,-3.3255,0.0000,Running,3.0684,28,0.0667,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,AccInput,AccInput
Rest,2020-12-03 12:59:04.7201,3847,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.4930,8,(0.575 0.493 0.711 0.665 0.656 0.680 0.671 0.605 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-03 12:59:06.5035,3975,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.6383,9,(0.673 0.648 0.648 0.635 0.623 0.638 0.615 0.667 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 12:59:06.8928,4003,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.5205,9,(0.664 0.626 0.685 0.735 0.752 0.521 0.645 0.650 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-03 12:59:11.2510,4315,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.7053,10,(0.722 0.725 0.741 0.721 0.698 0.680 0.705 0.681 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 12:59:12.7684,4423,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.5120,10,(0.791 0.787 0.805 0.848 0.807 0.695 0.590 0.512 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
