Event,Timestamp,Framecount,SessionID,Email,BCIConfidence,BCIState
Sample,2020-12-03 12:58:09.6691,11,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.4052,ReceivingData
Sample,2020-12-03 12:58:09.6901,12,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.4400,ReceivingData
Sample,2020-12-03 12:58:09.7590,17,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.4408,ReceivingData
Sample,2020-12-03 12:58:09.7735,18,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.4051,ReceivingData
Sample,2020-12-03 12:58:09.8845,26,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.3920,ReceivingData
Sample,2020-12-03 12:58:09.8985,27,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.4278,ReceivingData
Sample,2020-12-03 12:58:09.9121,28,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.4209,ReceivingData
Sample,2020-12-03 12:58:10.0092,35,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.4295,ReceivingData
Sample,2020-12-03 12:58:10.0228,36,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.4039,ReceivingData
Sample,2020-12-03 12:58:10.1351,44,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.4075,ReceivingData
Sample,2020-12-03 12:58:10.1486,45,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.3944,ReceivingData
Sample,2020-12-03 12:58:10.2603,53,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.2883,ReceivingData
Sample,2020-12-03 12:58:10.2742,54,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1443,ReceivingData
Sample,2020-12-03 12:58:10.3994,63,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1359,ReceivingData
Sample,2020-12-03 12:58:10.4144,64,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1293,ReceivingData
Sample,2020-12-03 12:58:10.5256,72,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1134,ReceivingData
Sample,2020-12-03 12:58:10.5386,73,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1017,ReceivingData
Sample,2020-12-03 12:58:10.6507,81,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0964,ReceivingData
Sample,2020-12-03 12:58:10.6648,82,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0975,ReceivingData
Sample,2020-12-03 12:58:10.7758,90,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1067,ReceivingData
Sample,2020-12-03 12:58:10.7903,91,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1049,ReceivingData
Sample,2020-12-03 12:58:10.9019,99,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0971,ReceivingData
Sample,2020-12-03 12:58:10.9160,100,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0967,ReceivingData
Sample,2020-12-03 12:58:10.9300,101,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0970,ReceivingData
Sample,2020-12-03 12:58:11.0272,108,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0960,ReceivingData
Sample,2020-12-03 12:58:11.0408,109,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0959,ReceivingData
Sample,2020-12-03 12:58:11.1667,118,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0937,ReceivingData
Sample,2020-12-03 12:58:11.1802,119,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1002,ReceivingData
Sample,2020-12-03 12:58:11.2922,127,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1273,ReceivingData
Sample,2020-12-03 12:58:11.3062,128,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1272,ReceivingData
Sample,2020-12-03 12:58:11.4171,136,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1353,ReceivingData
Sample,2020-12-03 12:58:11.4321,137,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0986,ReceivingData
Sample,2020-12-03 12:58:11.5433,145,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0721,ReceivingData
Sample,2020-12-03 12:58:11.5574,146,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0714,ReceivingData
Sample,2020-12-03 12:58:11.6695,154,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0704,ReceivingData
Sample,2020-12-03 12:58:11.6829,155,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0693,ReceivingData
Sample,2020-12-03 12:58:11.7951,163,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0680,ReceivingData
Sample,2020-12-03 12:58:11.8086,164,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0568,ReceivingData
Sample,2020-12-03 12:58:11.8222,165,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0645,ReceivingData
Sample,2020-12-03 12:58:11.9334,173,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0661,ReceivingData
Sample,2020-12-03 12:58:11.9470,174,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0256,ReceivingData
Sample,2020-12-03 12:58:12.0620,182,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0193,ReceivingData
Sample,2020-12-03 12:58:12.0740,183,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0164,ReceivingData
Sample,2020-12-03 12:58:12.1839,191,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0150,ReceivingData
Sample,2020-12-03 12:58:12.1979,192,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0166,ReceivingData
Sample,2020-12-03 12:58:12.3099,200,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0167,ReceivingData
Sample,2020-12-03 12:58:12.3239,201,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0081,ReceivingData
Sample,2020-12-03 12:58:12.4351,209,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0094,ReceivingData
Sample,2020-12-03 12:58:12.4492,210,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0099,ReceivingData
Sample,2020-12-03 12:58:12.5744,219,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0105,ReceivingData
Sample,2020-12-03 12:58:12.5884,220,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0104,ReceivingData
Sample,2020-12-03 12:58:12.6994,228,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0106,ReceivingData
Sample,2020-12-03 12:58:12.7140,229,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0107,ReceivingData
Sample,2020-12-03 12:58:12.8253,237,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0112,ReceivingData
Sample,2020-12-03 12:58:12.8388,238,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0104,ReceivingData
Sample,2020-12-03 12:58:12.8533,239,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0100,ReceivingData
Sample,2020-12-03 12:58:12.9500,246,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0107,ReceivingData
Sample,2020-12-03 12:58:12.9640,247,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0136,ReceivingData
Sample,2020-12-03 12:58:13.0757,255,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0174,ReceivingData
Sample,2020-12-03 12:58:13.0902,256,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0149,ReceivingData
Sample,2020-12-03 12:58:13.2009,264,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0039,ReceivingData
Sample,2020-12-03 12:58:13.2159,265,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0013,ReceivingData
Sample,2020-12-03 12:58:13.3405,274,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0008,ReceivingData
Sample,2020-12-03 12:58:13.3550,275,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0004,ReceivingData
Sample,2020-12-03 12:58:13.4660,283,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0003,ReceivingData
Sample,2020-12-03 12:58:13.4794,284,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0002,ReceivingData
Sample,2020-12-03 12:58:13.5959,292,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0001,ReceivingData
Sample,2020-12-03 12:58:13.6069,293,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0001,ReceivingData
Sample,2020-12-03 12:58:13.7171,301,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0001,ReceivingData
Sample,2020-12-03 12:58:13.7306,302,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0002,ReceivingData
Sample,2020-12-03 12:58:13.7451,303,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0002,ReceivingData
Sample,2020-12-03 12:58:13.8420,310,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0003,ReceivingData
Sample,2020-12-03 12:58:13.8560,311,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0004,ReceivingData
Sample,2020-12-03 12:58:13.9680,319,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0004,ReceivingData
Sample,2020-12-03 12:58:13.9820,320,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0004,ReceivingData
Sample,2020-12-03 12:58:14.1070,329,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0005,ReceivingData
Sample,2020-12-03 12:58:14.1204,330,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0005,ReceivingData
Sample,2020-12-03 12:58:14.2329,338,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0009,ReceivingData
Sample,2020-12-03 12:58:14.2459,339,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0014,ReceivingData
Sample,2020-12-03 12:58:14.3573,345,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0035,ReceivingData
Sample,2020-12-03 12:58:14.3859,346,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0064,ReceivingData
Sample,2020-12-03 12:58:14.4832,352,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0100,ReceivingData
Sample,2020-12-03 12:58:14.4971,353,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0401,ReceivingData
Sample,2020-12-03 12:58:14.6085,361,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.0735,ReceivingData
Sample,2020-12-03 12:58:14.6225,362,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1033,ReceivingData
Sample,2020-12-03 12:58:14.7484,371,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1098,ReceivingData
Sample,2020-12-03 12:58:14.7620,372,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1157,ReceivingData
Sample,2020-12-03 12:58:14.7754,373,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1106,ReceivingData
Sample,2020-12-03 12:58:14.8589,379,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1132,ReceivingData
Sample,2020-12-03 12:58:14.8734,380,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1300,ReceivingData
Sample,2020-12-03 12:58:14.9985,388,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1354,ReceivingData
Sample,2020-12-03 12:58:15.0120,389,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1413,ReceivingData
Sample,2020-12-03 12:58:15.1239,397,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1272,ReceivingData
Sample,2020-12-03 12:58:15.1374,398,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1321,ReceivingData
Sample,2020-12-03 12:58:15.2489,405,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1074,ReceivingData
Sample,2020-12-03 12:58:15.2630,406,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1146,ReceivingData
Sample,2020-12-03 12:58:15.3743,412,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1272,ReceivingData
Sample,2020-12-03 12:58:15.3888,413,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1074,ReceivingData
Sample,2020-12-03 12:58:15.5134,421,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1375,ReceivingData
Sample,2020-12-03 12:58:15.5279,422,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1422,ReceivingData
Sample,2020-12-03 12:58:15.6387,430,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1617,ReceivingData
Sample,2020-12-03 12:58:15.6528,431,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,0.1407,ReceivingData
