Event,Timestamp,Framecount,SessionID,Email,BCIState,BCIConfidence,InputNumber,BCIThresholdBuffer,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal
BCIStateUpdated,2021-05-11 11:13:42.5593,1,6d540e1a236219997be1a2fd66405841,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-05-11 11:13:45.5025,10,6d540e1a236219997be1a2fd66405841,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-05-11 11:13:45.5739,13,6d540e1a236219997be1a2fd66405841,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-11 11:13:45.9437,39,6d540e1a236219997be1a2fd66405841,anonymous,ReceivingData,0.4470,1,(0.433 0.386 0.396 0.416 0.428 0.419 0.410 0.447 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-11 11:13:48.5288,224,6d540e1a236219997be1a2fd66405841,anonymous,ReceivingData,0.2865,1,(0.365 0.313 0.306 0.286 0.371 0.377 0.382 0.381 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-11 11:13:49.2955,279,6d540e1a236219997be1a2fd66405841,anonymous,ReceivingData,0.4090,2,(0.361 0.379 0.370 0.369 0.381 0.378 0.406 0.409 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-11 11:13:51.3293,425,6d540e1a236219997be1a2fd66405841,anonymous,ReceivingData,0.2947,2,(0.302 0.295 0.368 0.369 0.361 0.360 0.337 0.326 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-11 11:13:52.3692,499,6d540e1a236219997be1a2fd66405841,anonymous,ReceivingData,0.3139,3,(0.327 0.312 0.325 0.314 0.301 0.301 0.302 0.306 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-11 11:13:54.3762,643,6d540e1a236219997be1a2fd66405841,anonymous,ReceivingData,0.2954,3,(0.373 0.385 0.330 0.321 0.295 0.441 0.413 0.400 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-11 11:13:54.8923,680,6d540e1a236219997be1a2fd66405841,anonymous,ReceivingData,0.3247,4,(0.300 0.337 0.334 0.319 0.325 0.314 0.310 0.302 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
