Event,Timestamp,Framecount,SessionID,Email,BCIState,BCIConfidence,InputNumber,BCIThresholdBuffer,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal
BCIStateUpdated,2020-11-27 13:17:46.3094,1,0310ca213eeeffe25bbad0fdcadd7854,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-11-27 13:17:49.6602,8,0310ca213eeeffe25bbad0fdcadd7854,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-11-27 13:17:49.7904,13,0310ca213eeeffe25bbad0fdcadd7854,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-11-27 13:18:18.2759,1957,0310ca213eeeffe25bbad0fdcadd7854,anonymous,ReceivingData,0.7507,1,(0.732 0.732 0.704 0.748 0.751 0.727 0.740 0.733 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-11-27 13:18:18.9291,2003,0310ca213eeeffe25bbad0fdcadd7854,anonymous,ReceivingData,0.6652,1,(0.786 0.798 0.821 0.790 0.795 0.757 0.665 0.780 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2020-11-27 13:18:30.5625,2834,0310ca213eeeffe25bbad0fdcadd7854,anonymous,NULL,NULL,NULL,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
InputWindowChange,2020-11-27 13:18:42.5456,3690,0310ca213eeeffe25bbad0fdcadd7854,anonymous,NULL,NULL,NULL,NULL,Open,0,0.0000,0.0000,Running,2.5057,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
MotorImagery,2020-11-27 13:18:45.7451,3919,0310ca213eeeffe25bbad0fdcadd7854,anonymous,ReceivingData,0.7579,2,(0.741 0.728 0.712 0.709 0.735 0.763 0.758 0.719 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-27 13:18:45.7461,3919,0310ca213eeeffe25bbad0fdcadd7854,anonymous,NULL,NULL,NULL,NULL,Closed,0,-2.7957,0.0000,Running,2.5057,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
GameDecision,2020-11-27 13:18:45.7501,3919,0310ca213eeeffe25bbad0fdcadd7854,anonymous,NULL,NULL,NULL,NULL,Closed,0,-2.7957,0.0000,Running,2.5057,29,0.0333,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,AccInput,AccInput
Rest,2020-11-27 13:18:45.8715,3928,0310ca213eeeffe25bbad0fdcadd7854,anonymous,ReceivingData,0.6566,2,(0.704 0.657 0.712 0.709 0.735 0.763 0.758 0.767 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
