Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
InputWindowChange,2020-11-30 11:28:20.9161,6986,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Closed,3,-4.3727,0.0000,Running,3.2587,29,0.0333,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-30 11:28:20.9161,6986,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Closed,3,-4.3727,0.0000,Running,3.2587,28,0.0667,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,AccInput,NULL,NULL,NULL,AccInput
Rest,2020-11-30 11:28:21.1802,7005,524c690e5d4e41828515ff275de3e04a,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3716,3,(0.462 0.430 0.372 0.462 0.564 0.525 0.519 0.480 ),NULL
InputWindowChange,2020-11-30 11:28:37.2908,8154,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Open,4,0.0000,0.0000,Running,2.7295,28,0.0667,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-30 11:28:43.2919,8584,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Closed,4,0.0014,0.0000,Running,2.7295,28,0.0667,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-30 11:28:43.2929,8584,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Closed,4,0.0014,0.0000,Running,2.7295,28,0.0667,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2020-11-30 11:28:55.2953,9444,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Open,5,0.0000,0.0000,Running,2.7195,28,0.0667,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-30 11:29:01.2957,9874,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Closed,5,0.0019,0.0000,Running,2.7195,28,0.0667,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-30 11:29:01.2967,9874,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Closed,5,0.0019,0.0000,Running,2.7195,28,0.0667,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
MotorImagery,2020-11-30 11:29:04.6082,10111,524c690e5d4e41828515ff275de3e04a,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4775,4,(0.538 0.545 0.563 0.513 0.508 0.505 0.478 0.424 ),NULL
Rest,2020-11-30 11:29:04.7340,10120,524c690e5d4e41828515ff275de3e04a,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3194,4,(0.319 0.545 0.563 0.513 0.508 0.505 0.478 0.425 ),NULL
InputWindowChange,2020-11-30 11:29:13.2976,10723,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Open,6,0.0000,0.0000,Running,3.4611,28,0.0667,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-30 11:29:19.2992,11147,524c690e5d4e41828515ff275de3e04a,anonymous,NULL,Closed,6,0.0006,0.0000,Running,3.4611,28,0.0667,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
