Event,Timestamp,Framecount,SessionID,Email,BCIState,BCIConfidence,InputNumber,BCIThresholdBuffer,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal
BCIStateUpdated,2021-05-06 17:38:08.7985,1,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-05-06 17:38:11.8190,12,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-05-06 17:38:11.9338,14,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 17:38:12.2750,37,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.4831,1,(0.396 0.393 0.385 0.396 0.392 0.431 0.458 0.483 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 17:38:12.8147,72,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.2853,1,(0.285 0.450 0.460 0.457 0.445 0.430 0.441 0.408 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 17:38:17.9232,432,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.4162,2,(0.336 0.333 0.332 0.386 0.412 0.430 0.416 0.312 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 17:38:23.7721,852,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.2908,2,(0.451 0.431 0.436 0.367 0.366 0.353 0.314 0.291 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2021-05-06 17:38:25.2456,957,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,NULL,NULL,NULL,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
MotorImagery,2021-05-06 17:38:25.4555,972,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.4318,3,(0.365 0.410 0.448 0.432 0.317 0.377 0.395 0.376 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2021-05-06 17:38:26.3041,1033,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,NULL,NULL,NULL,NULL,Closed,0,1.0711,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
Rest,2021-05-06 17:38:28.1277,1163,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.2130,3,(0.213 0.411 0.385 0.398 0.395 0.316 0.318 0.305 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 17:38:29.1567,1237,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.3959,4,(0.364 0.396 0.314 0.409 0.395 0.417 0.381 0.365 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 17:38:34.6437,1619,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.2729,4,(0.389 0.392 0.378 0.330 0.273 0.447 0.442 0.428 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 17:38:36.6754,1763,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.5401,5,(0.394 0.422 0.462 0.499 0.537 0.546 0.540 0.340 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2021-05-06 17:38:37.2345,1803,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,NULL,NULL,NULL,NULL,Open,0,0.0000,0.0000,Running,0.3118,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
Rest,2021-05-06 17:38:38.8756,1921,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.2368,5,(0.456 0.361 0.301 0.237 0.532 0.545 0.531 0.507 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 17:38:41.0341,2076,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.6044,6,(0.314 0.330 0.388 0.461 0.526 0.571 0.581 0.604 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 17:38:41.2986,2095,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.2896,6,(0.608 0.600 0.501 0.354 0.290 0.571 0.581 0.604 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 17:38:41.8133,2132,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.3762,7,(0.356 0.375 0.380 0.396 0.376 0.326 0.358 0.365 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2021-05-06 17:38:42.2450,2163,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,NULL,NULL,NULL,NULL,Closed,0,0.0105,0.0000,Running,0.3118,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
GameDecision,2021-05-06 17:38:42.2474,2163,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,NULL,NULL,NULL,NULL,Closed,0,0.0105,0.0000,Running,0.3118,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput
Rest,2021-05-06 17:38:43.4692,2251,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.2900,7,(0.290 0.585 0.589 0.585 0.577 0.567 0.571 0.549 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 17:38:44.6268,2334,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.4375,8,(0.407 0.403 0.422 0.438 0.338 0.341 0.364 0.379 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 17:38:45.6293,2406,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.2841,8,(0.317 0.318 0.316 0.284 0.476 0.387 0.351 0.333 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 17:38:46.4217,2463,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.6208,9,(0.639 0.621 0.427 0.509 0.519 0.538 0.567 0.611 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 17:38:49.8467,2709,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.2635,9,(0.400 0.365 0.263 0.379 0.364 0.385 0.406 0.407 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 17:38:50.7509,2774,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.3650,10,(0.349 0.365 0.338 0.379 0.387 0.389 0.347 0.343 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 17:38:51.8932,2856,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.2882,10,(0.453 0.445 0.379 0.344 0.288 0.471 0.483 0.490 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 17:38:52.9363,2931,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.5435,11,(0.416 0.452 0.470 0.481 0.478 0.556 0.543 0.369 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2021-05-06 17:38:54.2455,3025,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,NULL,NULL,NULL,NULL,Open,1,0.0000,0.0000,Running,0.8324,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL
Rest,2021-05-06 17:38:55.9850,3150,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.2971,11,(0.297 0.317 0.337 0.349 0.378 0.363 0.328 0.303 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 17:38:56.9187,3217,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.3269,12,(0.327 0.301 0.330 0.318 0.339 0.331 0.325 0.340 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 17:38:57.0427,3226,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.2619,12,(0.327 0.321 0.262 0.318 0.339 0.331 0.325 0.340 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2021-05-06 17:38:59.2567,3385,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,NULL,NULL,NULL,NULL,Closed,1,0.0121,0.0000,Running,0.8324,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL
GameDecision,2021-05-06 17:38:59.2572,3385,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,NULL,NULL,NULL,NULL,Closed,1,0.0121,0.0000,Running,0.8324,30,0.0000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput
MotorImagery,2021-05-06 17:39:03.6725,3702,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.8084,13,(0.786 0.784 0.785 0.782 0.795 0.808 0.783 0.790 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 17:39:04.2984,3747,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.2536,13,(0.819 0.824 0.827 0.834 0.833 0.831 0.666 0.254 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 17:39:04.7982,3783,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.3868,14,(0.305 0.322 0.353 0.361 0.393 0.411 0.396 0.387 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 17:39:05.9533,3866,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.2954,14,(0.380 0.372 0.336 0.295 0.403 0.392 0.356 0.369 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 17:39:08.1267,4022,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.3409,15,(0.326 0.353 0.351 0.350 0.347 0.320 0.334 0.341 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 17:39:08.3764,4040,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.2953,15,(0.324 0.307 0.295 0.350 0.347 0.320 0.334 0.341 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2021-05-06 17:39:11.2575,4247,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,NULL,NULL,NULL,NULL,Open,2,0.0000,0.0000,Running,0.0502,30,0.0000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL
MotorImagery,2021-05-06 17:39:15.4205,4546,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.4414,16,(0.416 0.441 0.322 0.322 0.319 0.344 0.353 0.402 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 17:39:15.9211,4582,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.2961,16,(0.336 0.296 0.445 0.464 0.431 0.424 0.400 0.354 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2021-05-06 17:39:16.2696,4607,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,NULL,NULL,NULL,NULL,Closed,2,0.0124,0.0000,Running,0.0502,30,0.0000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL
GameDecision,2021-05-06 17:39:16.2706,4607,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,NULL,NULL,NULL,NULL,Closed,2,0.0124,0.0000,Running,0.0502,30,0.0000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput
MotorImagery,2021-05-06 17:39:27.0173,5379,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.3383,17,(0.393 0.421 0.410 0.437 0.402 0.332 0.338 0.328 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 17:39:27.6582,5425,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.2940,17,(0.330 0.294 0.372 0.367 0.348 0.387 0.380 0.354 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2021-05-06 17:39:28.2701,5469,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,NULL,NULL,NULL,NULL,Open,3,0.0000,0.0000,Running,0.2284,30,0.0000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
MotorImagery,2021-05-06 17:39:28.2841,5470,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.4677,18,(0.443 0.455 0.476 0.468 0.310 0.341 0.379 0.389 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 17:39:28.9108,5515,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.2780,18,(0.429 0.413 0.418 0.398 0.357 0.278 0.422 0.418 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2021-05-06 17:39:33.2804,5829,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,NULL,NULL,NULL,NULL,Closed,3,0.0092,0.0000,Running,0.2284,30,0.0000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
GameDecision,2021-05-06 17:39:33.2814,5829,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,NULL,NULL,NULL,NULL,Closed,3,0.0092,0.0000,Running,0.2284,30,0.0000,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput
MotorImagery,2021-05-06 17:39:34.8017,5934,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.5184,19,(0.518 0.317 0.410 0.445 0.439 0.459 0.460 0.521 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 17:39:35.1824,5960,81e0eedeadefd5b551bdd6dd14d21e76,anonymous,ReceivingData,0.2981,19,(0.518 0.519 0.474 0.425 0.388 0.328 0.298 0.521 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
