Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal,BCIConfidence,InputNumber,BCIThresholdBuffer
BCIStateUpdated,2020-11-27 10:17:44.8258,1,60737d7d24130424b89de6dbecf4bd27,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-11-27 10:17:51.3567,8,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-11-27 10:17:51.3972,11,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2020-11-27 10:18:12.1604,1499,60737d7d24130424b89de6dbecf4bd27,anonymous,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-27 10:18:24.1411,2301,60737d7d24130424b89de6dbecf4bd27,anonymous,NULL,Open,0,0.0000,0.0000,Running,3.9120,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-27 10:18:30.1409,2723,60737d7d24130424b89de6dbecf4bd27,anonymous,NULL,Closed,0,0.0001,0.0000,Running,3.9120,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-27 10:18:30.1464,2723,60737d7d24130424b89de6dbecf4bd27,anonymous,NULL,Closed,0,0.0001,0.0000,Running,3.9120,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
MotorImagery,2020-11-27 10:18:33.1634,2938,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6757,1,(0.696 0.672 0.676 0.620 0.676 0.707 0.702 0.698 )
Rest,2020-11-27 10:18:33.6908,2976,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5486,1,(0.706 0.710 0.649 0.549 0.676 0.663 0.667 0.694 )
MotorImagery,2020-11-27 10:18:39.1857,3361,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7758,2,(0.605 0.667 0.721 0.752 0.785 0.798 0.807 0.776 )
Rest,2020-11-27 10:18:40.3451,3444,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5987,2,(0.722 0.728 0.660 0.599 0.824 0.797 0.790 0.758 )
MotorImagery,2020-11-27 10:18:41.5993,3533,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8154,3,(0.622 0.708 0.748 0.760 0.795 0.801 0.810 0.815 )
InputWindowChange,2020-11-27 10:18:42.1422,3572,60737d7d24130424b89de6dbecf4bd27,anonymous,NULL,Open,1,0.0000,0.0000,Running,1.5587,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
Rest,2020-11-27 10:18:42.2671,3581,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5890,3,(0.732 0.690 0.631 0.589 0.785 0.776 0.742 0.730 )
MotorImagery,2020-11-27 10:18:47.4761,3953,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7403,4,(0.745 0.740 0.604 0.670 0.745 0.753 0.758 0.737 )
InputWindowChange,2020-11-27 10:18:47.4771,3953,60737d7d24130424b89de6dbecf4bd27,anonymous,NULL,Closed,1,-0.6663,0.0000,Running,1.5587,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-27 10:18:47.4781,3953,60737d7d24130424b89de6dbecf4bd27,anonymous,NULL,Closed,1,-0.6663,0.0000,Running,1.5587,29,0.0333,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,AccInput,AccInput,NULL,NULL,NULL
Rest,2020-11-27 10:18:48.0191,3991,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5949,4,(0.734 0.708 0.624 0.595 0.724 0.694 0.703 0.725 )
MotorImagery,2020-11-27 10:18:53.7417,4401,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7828,5,(0.804 0.783 0.659 0.693 0.732 0.741 0.778 0.790 )
Rest,2020-11-27 10:18:55.5238,4528,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6000,5,(0.764 0.742 0.726 0.670 0.626 0.605 0.602 0.600 )
MotorImagery,2020-11-27 10:18:58.4758,4739,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6643,6,(0.666 0.664 0.629 0.653 0.677 0.671 0.660 0.656 )
Rest,2020-11-27 10:18:58.6147,4749,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5894,6,(0.666 0.664 0.642 0.608 0.589 0.671 0.660 0.656 )
MotorImagery,2020-11-27 10:18:59.2418,4794,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7528,7,(0.646 0.615 0.628 0.669 0.712 0.726 0.753 0.609 )
InputWindowChange,2020-11-27 10:19:00.1566,4846,60737d7d24130424b89de6dbecf4bd27,anonymous,NULL,Open,2,0.0000,0.0000,Running,1.1626,29,0.0333,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
Rest,2020-11-27 10:19:01.0089,4906,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5588,7,(0.601 0.601 0.604 0.559 0.717 0.706 0.693 0.688 )
MotorImagery,2020-11-27 10:19:01.5387,4944,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7271,8,(0.617 0.615 0.648 0.699 0.711 0.727 0.605 0.652 )
InputWindowChange,2020-11-27 10:19:01.5387,4944,60737d7d24130424b89de6dbecf4bd27,anonymous,NULL,Closed,2,-4.6187,0.0000,Running,1.1626,29,0.0333,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-27 10:19:01.5397,4944,60737d7d24130424b89de6dbecf4bd27,anonymous,NULL,Closed,2,-4.6187,0.0000,Running,1.1626,28,0.0667,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,AccInput,AccInput,NULL,NULL,NULL
Rest,2020-11-27 10:19:02.4162,5007,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5646,8,(0.641 0.609 0.565 0.747 0.768 0.765 0.742 0.706 )
MotorImagery,2020-11-27 10:19:04.0872,5126,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6570,9,(0.653 0.666 0.676 0.650 0.665 0.660 0.657 0.622 )
Rest,2020-11-27 10:19:04.4772,5154,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5831,9,(0.628 0.624 0.630 0.627 0.652 0.639 0.583 0.648 )
MotorImagery,2020-11-27 10:19:10.1164,5554,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6294,10,(0.681 0.680 0.673 0.631 0.629 0.608 0.670 0.663 )
Rest,2020-11-27 10:19:13.6672,5807,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5544,10,(0.639 0.615 0.607 0.613 0.631 0.611 0.554 0.641 )
MotorImagery,2020-11-27 10:19:16.6187,6018,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8382,11,(0.838 0.664 0.648 0.699 0.723 0.746 0.791 0.812 )
Rest,2020-11-27 10:19:18.0110,6118,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5483,11,(0.548 0.778 0.760 0.727 0.691 0.650 0.658 0.626 )
InputWindowChange,2020-11-27 10:19:18.1639,6129,60737d7d24130424b89de6dbecf4bd27,anonymous,NULL,Open,3,0.0000,0.0000,Running,3.6537,28,0.0667,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-27 10:19:24.1650,6558,60737d7d24130424b89de6dbecf4bd27,anonymous,NULL,Closed,3,0.0008,0.0000,Running,3.6537,28,0.0667,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-27 10:19:24.1675,6558,60737d7d24130424b89de6dbecf4bd27,anonymous,NULL,Closed,3,0.0008,0.0000,Running,3.6537,28,0.0667,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
MotorImagery,2020-11-27 10:19:33.2022,7205,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6284,12,(0.654 0.645 0.645 0.649 0.641 0.628 0.603 0.636 )
Rest,2020-11-27 10:19:33.5920,7233,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5939,12,(0.675 0.650 0.630 0.594 0.641 0.628 0.651 0.673 )
InputWindowChange,2020-11-27 10:19:36.1677,7418,60737d7d24130424b89de6dbecf4bd27,anonymous,NULL,Open,4,0.0000,0.0000,Running,1.1057,28,0.0667,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2020-11-27 10:19:39.4673,7653,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7121,13,(0.689 0.711 0.697 0.698 0.704 0.718 0.712 0.630 )
InputWindowChange,2020-11-27 10:19:39.4673,7653,60737d7d24130424b89de6dbecf4bd27,anonymous,NULL,Closed,4,-2.6990,0.0000,Running,1.1057,28,0.0667,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-27 10:19:39.4683,7653,60737d7d24130424b89de6dbecf4bd27,anonymous,NULL,Closed,4,-2.6990,0.0000,Running,1.1057,27,0.1000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,AccInput,AccInput,NULL,NULL,NULL
Rest,2020-11-27 10:19:39.9972,7691,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5437,13,(0.716 0.724 0.718 0.706 0.701 0.687 0.659 0.544 )
MotorImagery,2020-11-27 10:19:46.9874,8191,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6426,14,(0.718 0.709 0.681 0.643 0.610 0.625 0.699 0.714 )
Rest,2020-11-27 10:19:47.1121,8200,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5953,14,(0.718 0.709 0.681 0.643 0.614 0.595 0.699 0.714 )
MotorImagery,2020-11-27 10:19:51.8603,8539,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6179,15,(0.672 0.668 0.653 0.632 0.619 0.618 0.638 0.678 )
Rest,2020-11-27 10:19:53.7537,8675,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5439,15,(0.701 0.693 0.670 0.641 0.544 0.713 0.697 0.691 )
InputWindowChange,2020-11-27 10:19:54.1721,8705,60737d7d24130424b89de6dbecf4bd27,anonymous,NULL,Open,5,0.0000,0.0000,Running,4.8366,27,0.1000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2020-11-27 10:19:58.0012,8978,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7905,16,(0.749 0.769 0.778 0.795 0.791 0.681 0.705 0.733 )
InputWindowChange,2020-11-27 10:19:58.0022,8978,60737d7d24130424b89de6dbecf4bd27,anonymous,NULL,Closed,5,-2.1714,0.0000,Running,4.8366,27,0.1000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-27 10:19:58.0032,8978,60737d7d24130424b89de6dbecf4bd27,anonymous,NULL,Closed,5,-2.1714,0.0000,Running,4.8366,26,0.1333,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,AccInput,AccInput,NULL,NULL,NULL
Rest,2020-11-27 10:19:58.7386,9031,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5807,16,(0.763 0.796 0.797 0.802 0.792 0.734 0.646 0.581 )
MotorImagery,2020-11-27 10:20:07.6920,9671,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6448,17,(0.694 0.661 0.653 0.633 0.635 0.608 0.645 0.669 )
Rest,2020-11-27 10:20:11.5344,9945,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5657,17,(0.639 0.679 0.672 0.648 0.619 0.601 0.566 0.663 )
InputWindowChange,2020-11-27 10:20:12.1751,9991,60737d7d24130424b89de6dbecf4bd27,anonymous,NULL,Open,6,0.0000,0.0000,Running,4.1391,26,0.1333,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2020-11-27 10:20:14.2078,10136,60737d7d24130424b89de6dbecf4bd27,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6685,18,(0.671 0.677 0.669 0.605 0.617 0.656 0.677 0.691 )
InputWindowChange,2020-11-27 10:20:14.2078,10136,60737d7d24130424b89de6dbecf4bd27,anonymous,NULL,Closed,6,-3.9656,0.0000,Running,4.1391,26,0.1333,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
