Event,Timestamp,Framecount,SessionID,Email,BCIState,BCIConfidence,InputNumber,BCIThresholdBuffer,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal
BCIStateUpdated,2020-12-03 12:40:40.9628,1,f6a7e5a1e5c5cee3d1faa98c76a8ac97,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-12-03 12:40:44.5192,4,f6a7e5a1e5c5cee3d1faa98c76a8ac97,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-12-03 12:40:44.6106,5,f6a7e5a1e5c5cee3d1faa98c76a8ac97,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-03 12:40:57.9552,923,f6a7e5a1e5c5cee3d1faa98c76a8ac97,anonymous,ReceivingData,0.8006,1,(0.801 0.773 0.806 0.823 0.808 0.809 0.825 0.821 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 12:40:57.9843,925,f6a7e5a1e5c5cee3d1faa98c76a8ac97,anonymous,ReceivingData,0.6528,1,(0.801 0.804 0.653 0.823 0.808 0.809 0.825 0.821 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-03 12:41:11.3892,1832,f6a7e5a1e5c5cee3d1faa98c76a8ac97,anonymous,ReceivingData,0.1162,2,(0.099 0.116 0.024 0.017 0.009 0.016 0.028 0.053 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 12:41:11.5294,1841,f6a7e5a1e5c5cee3d1faa98c76a8ac97,anonymous,ReceivingData,0.1348,2,(0.099 0.116 0.119 0.122 0.135 0.016 0.028 0.053 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-03 12:41:16.3463,2161,f6a7e5a1e5c5cee3d1faa98c76a8ac97,anonymous,ReceivingData,0.6261,3,(0.597 0.590 0.583 0.595 0.626 0.586 0.589 0.627 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 12:41:16.4998,2172,f6a7e5a1e5c5cee3d1faa98c76a8ac97,anonymous,ReceivingData,0.5557,3,(0.597 0.590 0.583 0.595 0.626 0.607 0.609 0.556 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2020-12-03 12:41:27.1995,2934,f6a7e5a1e5c5cee3d1faa98c76a8ac97,anonymous,NULL,NULL,NULL,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
MotorImagery,2020-12-03 12:41:29.8936,3126,f6a7e5a1e5c5cee3d1faa98c76a8ac97,anonymous,ReceivingData,0.6726,4,(0.663 0.698 0.719 0.709 0.648 0.663 0.673 0.633 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 12:41:30.2854,3153,f6a7e5a1e5c5cee3d1faa98c76a8ac97,anonymous,ReceivingData,0.5699,4,(0.671 0.654 0.613 0.600 0.570 0.663 0.673 0.690 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2020-12-03 12:41:39.1846,3789,f6a7e5a1e5c5cee3d1faa98c76a8ac97,anonymous,NULL,NULL,NULL,NULL,Open,0,0.0000,0.0000,Running,1.1015,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
