Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
Rest,2021-05-03 10:36:54.7573,9718,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2776,25,(0.426 0.365 0.278 0.630 0.633 0.608 0.524 0.474 ),NULL
InputWindowChange,2021-05-03 10:36:55.2301,9752,b573a5c649245caa098b0a8782a0c0ef,anonymous,NULL,Closed,7,0.0115,0.0000,Running,0.1639,20,0.0000,0,0.0000,0,0.3500,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-05-03 10:36:55.2311,9752,b573a5c649245caa098b0a8782a0c0ef,anonymous,NULL,Closed,7,0.0115,0.0000,Running,0.1639,20,0.0000,0,0.0000,0,0.4000,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
MotorImagery,2021-05-03 10:36:56.1774,9820,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5722,26,(0.499 0.543 0.572 0.305 0.387 0.403 0.409 0.449 ),NULL
Rest,2021-05-03 10:37:04.4609,10415,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2506,26,(0.560 0.468 0.432 0.334 0.251 0.582 0.501 0.567 ),NULL
MotorImagery,2021-05-03 10:37:05.9923,10525,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5752,27,(0.342 0.340 0.345 0.355 0.448 0.575 0.324 0.339 ),NULL
InputWindowChange,2021-05-03 10:37:07.2312,10614,b573a5c649245caa098b0a8782a0c0ef,anonymous,NULL,Open,8,0.0000,0.0000,Running,0.0261,20,0.0000,0,0.0000,0,0.4000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
Rest,2021-05-03 10:37:09.5698,10782,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2677,27,(0.490 0.268 0.749 0.628 0.594 0.588 0.573 0.578 ),NULL
MotorImagery,2021-05-03 10:37:10.6141,10857,b573a5c649245caa098b0a8782a0c0ef,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6344,28,(0.485 0.515 0.594 0.634 0.477 0.484 0.510 0.518 ),NULL
InputWindowChange,2021-05-03 10:37:12.2433,10974,b573a5c649245caa098b0a8782a0c0ef,anonymous,NULL,Closed,8,0.0121,0.0000,Running,0.0261,20,0.0000,0,0.0000,0,0.4000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
