Event,Timestamp,Framecount,SessionID,Email,BCIState,BCIConfidence,InputNumber,BCIThresholdBuffer,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal
BCIStateUpdated,2020-12-03 14:03:27.8082,1,f3bcc8513ae59271a3efd0f3367e8575,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-12-03 14:03:31.4409,4,f3bcc8513ae59271a3efd0f3367e8575,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-12-03 14:03:31.5704,6,f3bcc8513ae59271a3efd0f3367e8575,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-03 14:04:01.4530,2044,f3bcc8513ae59271a3efd0f3367e8575,anonymous,ReceivingData,0.1709,1,(0.181 0.176 0.188 0.171 0.228 0.208 0.174 0.171 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 14:04:02.5101,2115,f3bcc8513ae59271a3efd0f3367e8575,anonymous,ReceivingData,0.3883,1,(0.302 0.319 0.343 0.379 0.388 0.187 0.217 0.284 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-03 14:04:10.5427,2664,f3bcc8513ae59271a3efd0f3367e8575,anonymous,ReceivingData,0.7771,2,(0.754 0.759 0.768 0.756 0.777 0.483 0.537 0.695 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 14:04:12.3266,2792,f3bcc8513ae59271a3efd0f3367e8575,anonymous,ReceivingData,0.4559,2,(0.524 0.456 0.591 0.605 0.597 0.614 0.535 0.525 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-03 14:04:14.3743,2938,f3bcc8513ae59271a3efd0f3367e8575,anonymous,ReceivingData,0.4881,3,(0.544 0.540 0.547 0.551 0.488 0.526 0.515 0.539 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 14:04:14.4990,2947,f3bcc8513ae59271a3efd0f3367e8575,anonymous,ReceivingData,0.4491,3,(0.544 0.540 0.547 0.551 0.488 0.449 0.515 0.539 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-03 14:04:28.4370,3943,f3bcc8513ae59271a3efd0f3367e8575,anonymous,ReceivingData,0.5822,4,(0.537 0.540 0.542 0.562 0.571 0.568 0.582 0.491 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
