Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
BCIStateUpdated,2020-11-30 14:39:55.2281,1,1ce8fff259f509d5c5c76785c5ee7be2,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-11-30 14:39:58.5715,8,1ce8fff259f509d5c5c76785c5ee7be2,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-11-30 14:39:58.6839,11,1ce8fff259f509d5c5c76785c5ee7be2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2020-11-30 14:40:17.4981,1290,1ce8fff259f509d5c5c76785c5ee7be2,anonymous,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-30 14:40:29.4827,2109,1ce8fff259f509d5c5c76785c5ee7be2,anonymous,NULL,Open,0,0.0000,0.0000,Running,4.2600,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2020-11-30 14:40:33.6856,2407,1ce8fff259f509d5c5c76785c5ee7be2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5100,1,(0.512 0.523 0.510 0.459 0.498 0.510 0.482 0.486 ),NULL
InputWindowChange,2020-11-30 14:40:33.6886,2407,1ce8fff259f509d5c5c76785c5ee7be2,anonymous,NULL,Closed,0,-1.7945,0.0000,Running,4.2600,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-30 14:40:33.6996,2407,1ce8fff259f509d5c5c76785c5ee7be2,anonymous,NULL,Closed,0,-1.7945,0.0000,Running,4.2600,29,0.0333,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,AccInput,NULL,NULL,NULL,AccInput
Rest,2020-11-30 14:40:33.8101,2415,1ce8fff259f509d5c5c76785c5ee7be2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4444,1,(0.512 0.523 0.510 0.523 0.444 0.510 0.482 0.486 ),NULL
MotorImagery,2020-11-30 14:40:39.8400,2847,1ce8fff259f509d5c5c76785c5ee7be2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4842,2,(0.484 0.469 0.476 0.518 0.521 0.515 0.507 0.481 ),NULL
