Event,Timestamp,Framecount,SessionID,Email,BCIState,BCIConfidence,InputNumber,BCIThresholdBuffer,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal
BCIStateUpdated,2021-05-13 13:12:56.7895,1,fe5fc626256b64e28c699851cb9e6065,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-05-13 13:12:59.7584,12,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-05-13 13:12:59.8761,14,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-13 13:13:05.0754,371,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.9867,1,(0.987 0.526 0.562 0.680 0.356 0.824 0.966 0.973 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2021-05-13 13:13:08.7399,633,fe5fc626256b64e28c699851cb9e6065,anonymous,NULL,NULL,NULL,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
Rest,2021-05-13 13:13:08.9076,645,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.2009,1,(0.540 0.578 0.751 0.562 0.461 0.496 0.542 0.201 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-13 13:13:10.2870,744,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.8182,2,(0.535 0.791 0.841 0.788 0.772 0.764 0.749 0.818 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-13 13:13:11.4565,828,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.1663,2,(0.720 0.400 0.345 0.166 0.894 0.825 0.787 0.792 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-13 13:13:12.3467,892,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.5105,3,(0.563 0.522 0.511 0.425 0.520 0.570 0.553 0.556 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-13 13:13:12.7376,919,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.2494,3,(0.249 0.522 0.511 0.420 0.446 0.408 0.335 0.348 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-13 13:13:15.4067,1108,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.9995,4,(1.000 0.816 0.996 0.999 0.999 0.999 0.999 0.999 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2021-05-13 13:13:20.7139,1488,fe5fc626256b64e28c699851cb9e6065,anonymous,NULL,NULL,NULL,NULL,Open,0,0.0000,0.0000,Running,0.0030,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
Rest,2021-05-13 13:13:22.8418,1640,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.2204,4,(0.639 0.591 0.531 0.426 0.220 0.498 0.528 0.621 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-13 13:13:24.3440,1748,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.7530,5,(0.800 0.824 0.841 0.783 0.753 0.391 0.511 0.651 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2021-05-13 13:13:25.7253,1847,fe5fc626256b64e28c699851cb9e6065,anonymous,NULL,NULL,NULL,NULL,Closed,0,0.0123,0.0000,Running,0.0030,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
GameDecision,2021-05-13 13:13:25.7268,1847,fe5fc626256b64e28c699851cb9e6065,anonymous,NULL,NULL,NULL,NULL,Closed,0,0.0123,0.0000,Running,0.0030,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput
Rest,2021-05-13 13:13:26.7417,1920,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.2823,5,(0.376 0.365 0.282 0.474 0.495 0.495 0.335 0.375 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-13 13:13:30.5449,2193,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.7538,6,(0.754 0.315 0.509 0.477 0.554 0.595 0.710 0.762 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2021-05-13 13:13:37.7264,2709,fe5fc626256b64e28c699851cb9e6065,anonymous,NULL,NULL,NULL,NULL,Open,1,0.0000,0.0000,Running,0.3595,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL
Rest,2021-05-13 13:13:41.5411,2983,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.2248,6,(0.482 0.408 0.311 0.225 0.737 0.641 0.586 0.491 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2021-05-13 13:13:42.7393,3069,fe5fc626256b64e28c699851cb9e6065,anonymous,NULL,NULL,NULL,NULL,Closed,1,0.0124,0.0000,Running,0.3595,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL
GameDecision,2021-05-13 13:13:42.7393,3069,fe5fc626256b64e28c699851cb9e6065,anonymous,NULL,NULL,NULL,NULL,Closed,1,0.0124,0.0000,Running,0.3595,30,0.0000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput
MotorImagery,2021-05-13 13:13:43.6015,3131,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.4916,7,(0.462 0.475 0.420 0.446 0.434 0.361 0.492 0.364 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-13 13:13:45.7740,3287,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.2588,7,(0.414 0.366 0.380 0.380 0.317 0.322 0.259 0.518 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-13 13:13:48.1851,3460,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.4615,8,(0.358 0.393 0.325 0.385 0.432 0.461 0.348 0.399 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-13 13:13:48.3255,3470,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.2276,8,(0.228 0.393 0.325 0.385 0.432 0.461 0.407 0.314 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-13 13:13:50.0919,3597,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.7897,9,(0.709 0.695 0.711 0.592 0.680 0.790 0.398 0.577 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2021-05-13 13:13:54.7283,3929,fe5fc626256b64e28c699851cb9e6065,anonymous,NULL,NULL,NULL,NULL,Open,2,0.0000,0.0000,Running,0.7068,30,0.0000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL
Rest,2021-05-13 13:13:58.1519,4175,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.2190,9,(0.545 0.544 0.504 0.374 0.219 0.493 0.497 0.488 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2021-05-13 13:13:59.7387,4289,fe5fc626256b64e28c699851cb9e6065,anonymous,NULL,NULL,NULL,NULL,Closed,2,0.0122,0.0000,Running,0.7068,30,0.0000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL
GameDecision,2021-05-13 13:13:59.7387,4289,fe5fc626256b64e28c699851cb9e6065,anonymous,NULL,NULL,NULL,NULL,Closed,2,0.0122,0.0000,Running,0.7068,30,0.0000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput
MotorImagery,2021-05-13 13:14:02.2449,4469,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.9241,10,(0.924 0.485 0.738 0.764 0.809 0.898 0.915 0.914 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-13 13:14:02.8858,4515,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.2771,10,(0.711 0.569 0.378 0.277 0.867 0.834 0.841 0.806 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-13 13:14:03.6784,4572,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.4327,11,(0.406 0.433 0.360 0.446 0.560 0.553 0.552 0.468 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-13 13:14:05.5579,4706,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.2891,11,(0.493 0.441 0.504 0.549 0.455 0.434 0.335 0.289 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-13 13:14:06.4630,4771,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.3218,12,(0.365 0.340 0.400 0.528 0.484 0.438 0.322 0.395 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2021-05-13 13:14:11.7387,5149,fe5fc626256b64e28c699851cb9e6065,anonymous,NULL,NULL,NULL,NULL,Open,3,0.0000,0.0000,Running,0.2046,30,0.0000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
Rest,2021-05-13 13:14:15.4137,5413,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.0497,12,(0.508 0.538 0.050 0.668 0.547 0.522 0.525 0.511 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-13 13:14:16.4302,5486,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.6563,13,(0.500 0.605 0.700 0.656 0.358 0.400 0.320 0.452 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2021-05-13 13:14:16.7519,5509,fe5fc626256b64e28c699851cb9e6065,anonymous,NULL,NULL,NULL,NULL,Closed,3,0.0112,0.0000,Running,0.2046,30,0.0000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
GameDecision,2021-05-13 13:14:16.7519,5509,fe5fc626256b64e28c699851cb9e6065,anonymous,NULL,NULL,NULL,NULL,Closed,3,0.0112,0.0000,Running,0.2046,30,0.0000,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput
Rest,2021-05-13 13:14:17.4465,5559,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.2817,13,(0.380 0.334 0.348 0.334 0.282 0.408 0.434 0.430 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-13 13:14:18.0883,5605,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.5154,14,(0.385 0.512 0.529 0.476 0.523 0.472 0.515 0.408 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-13 13:14:20.5249,5780,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.2685,14,(0.862 0.743 0.706 0.585 0.578 0.493 0.372 0.269 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-13 13:14:21.2897,5835,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.8363,15,(0.450 0.425 0.547 0.818 0.836 0.324 0.392 0.384 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2021-05-13 13:14:28.7515,6371,fe5fc626256b64e28c699851cb9e6065,anonymous,NULL,NULL,NULL,NULL,Open,4,0.0000,0.0000,Running,0.7946,30,0.0000,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,NA,NULL
Rest,2021-05-13 13:14:30.7703,6516,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.2035,15,(0.780 0.603 0.517 0.475 0.434 0.316 0.204 0.899 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-13 13:14:31.5223,6570,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.3572,16,(0.303 0.385 0.357 0.332 0.372 0.370 0.351 0.373 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-13 13:14:31.6746,6581,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.2898,16,(0.303 0.385 0.357 0.317 0.333 0.290 0.351 0.373 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-13 13:14:33.3196,6699,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.4503,17,(0.358 0.356 0.366 0.433 0.468 0.544 0.526 0.450 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2021-05-13 13:14:33.7502,6730,fe5fc626256b64e28c699851cb9e6065,anonymous,NULL,NULL,NULL,NULL,Closed,4,0.0024,0.0000,Running,0.7946,30,0.0000,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,NA,NULL
GameDecision,2021-05-13 13:14:33.7512,6730,fe5fc626256b64e28c699851cb9e6065,anonymous,NULL,NULL,NULL,NULL,Closed,4,0.0024,0.0000,Running,0.7946,30,0.0000,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput
Rest,2021-05-13 13:14:34.4455,6780,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.2999,17,(0.538 0.344 0.300 0.827 0.784 0.763 0.736 0.728 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-13 13:14:34.8788,6811,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.8891,18,(0.842 0.865 0.889 0.856 0.895 0.889 0.866 0.861 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-13 13:14:35.5311,6858,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.2995,18,(0.830 0.884 0.916 0.841 0.380 0.300 0.812 0.815 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-13 13:14:36.4090,6921,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.6534,19,(0.546 0.546 0.497 0.627 0.653 0.403 0.448 0.499 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-13 13:14:37.5640,7004,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.2914,19,(0.650 0.528 0.425 0.466 0.426 0.362 0.323 0.291 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-13 13:14:39.1240,7116,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.7044,20,(0.656 0.704 0.303 0.345 0.396 0.569 0.574 0.628 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-13 13:14:40.3637,7205,fe5fc626256b64e28c699851cb9e6065,anonymous,ReceivingData,0.2452,20,(0.581 0.548 0.438 0.364 0.335 0.245 0.667 0.598 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
