Event,Timestamp,Framecount,SessionID,Email,BCIState,BCIConfidence,InputNumber,BCIThresholdBuffer,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal
BCIStateUpdated,2021-05-05 16:23:45.7647,1,cd6b865678dc94d9d383abc795bea826,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-05-05 16:23:49.4201,7,cd6b865678dc94d9d383abc795bea826,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-05-05 16:23:49.5156,9,cd6b865678dc94d9d383abc795bea826,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-05 16:23:49.9034,22,cd6b865678dc94d9d383abc795bea826,anonymous,ReceivingData,0.6042,1,(0.267 0.263 0.300 0.359 0.503 0.568 0.608 0.604 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-05 16:23:52.0788,97,cd6b865678dc94d9d383abc795bea826,anonymous,ReceivingData,0.1812,1,(0.277 0.281 0.296 0.238 0.181 0.305 0.309 0.286 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-05 16:23:52.6700,139,cd6b865678dc94d9d383abc795bea826,anonymous,ReceivingData,0.2287,2,(0.277 0.293 0.262 0.261 0.236 0.229 0.234 0.269 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-05 16:23:52.9198,157,cd6b865678dc94d9d383abc795bea826,anonymous,ReceivingData,0.1231,2,(0.204 0.123 0.262 0.261 0.236 0.229 0.236 0.237 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-05 16:23:56.7072,278,cd6b865678dc94d9d383abc795bea826,anonymous,ReceivingData,0.3274,3,(0.327 0.236 0.240 0.269 0.281 0.304 0.301 0.329 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-05 16:23:58.6881,339,cd6b865678dc94d9d383abc795bea826,anonymous,ReceivingData,0.1957,3,(0.211 0.196 0.274 0.250 0.209 0.240 0.218 0.203 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-05 16:24:00.3856,392,cd6b865678dc94d9d383abc795bea826,anonymous,ReceivingData,0.3137,4,(0.264 0.273 0.300 0.281 0.285 0.290 0.314 0.232 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
