Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal,BCIConfidence,InputNumber,BCIThresholdBuffer
BCIStateUpdated,2020-12-02 13:43:38.4733,1,96426f22f8ec290e5063ba5f6c397432,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-12-02 13:43:41.9818,5,96426f22f8ec290e5063ba5f6c397432,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-12-02 13:43:42.1430,6,96426f22f8ec290e5063ba5f6c397432,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2020-12-02 13:45:05.7358,5902,96426f22f8ec290e5063ba5f6c397432,anonymous,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-12-02 13:45:17.7170,6760,96426f22f8ec290e5063ba5f6c397432,anonymous,NULL,Open,0,0.0000,0.0000,Running,2.4334,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-12-02 13:45:23.7160,7190,96426f22f8ec290e5063ba5f6c397432,anonymous,NULL,Closed,0,0.0002,0.0000,Running,2.4334,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-12-02 13:45:23.7240,7190,96426f22f8ec290e5063ba5f6c397432,anonymous,NULL,Closed,0,0.0002,0.0000,Running,2.4334,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
MotorImagery,2020-12-02 13:45:34.5079,7956,96426f22f8ec290e5063ba5f6c397432,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6647,1,(0.653 0.665 0.642 0.648 0.656 0.666 0.673 0.666 )
Rest,2020-12-02 13:45:35.0220,7992,96426f22f8ec290e5063ba5f6c397432,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5889,1,(0.589 0.665 0.663 0.639 0.647 0.658 0.657 0.630 )
InputWindowChange,2020-12-02 13:45:35.7186,8042,96426f22f8ec290e5063ba5f6c397432,anonymous,NULL,Open,1,0.0000,0.0000,Running,3.9068,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2020-12-02 13:45:39.8536,8339,96426f22f8ec290e5063ba5f6c397432,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7815,2,(0.762 0.769 0.782 0.624 0.628 0.672 0.709 0.721 )
InputWindowChange,2020-12-02 13:45:39.8536,8339,96426f22f8ec290e5063ba5f6c397432,anonymous,NULL,Closed,1,-1.8644,0.0000,Running,3.9068,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-12-02 13:45:39.8597,8339,96426f22f8ec290e5063ba5f6c397432,anonymous,NULL,Closed,1,-1.8644,0.0000,Running,3.9068,29,0.0333,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,AccInput,AccInput,NULL,NULL,NULL
Rest,2020-12-02 13:45:40.6336,8395,96426f22f8ec290e5063ba5f6c397432,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5849,2,(0.797 0.748 0.730 0.692 0.663 0.648 0.585 0.790 )
InputWindowChange,2020-12-02 13:45:53.7223,9332,96426f22f8ec290e5063ba5f6c397432,anonymous,NULL,Open,2,0.0000,0.0000,Running,4.0796,29,0.0333,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2020-12-02 13:45:54.1956,9365,96426f22f8ec290e5063ba5f6c397432,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6168,3,(0.655 0.620 0.617 0.624 0.638 0.653 0.648 0.661 )
InputWindowChange,2020-12-02 13:45:54.1956,9365,96426f22f8ec290e5063ba5f6c397432,anonymous,NULL,Closed,2,-5.5273,0.0000,Running,4.0796,29,0.0333,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-12-02 13:45:54.1966,9365,96426f22f8ec290e5063ba5f6c397432,anonymous,NULL,Closed,2,-5.5273,0.0000,Running,4.0796,28,0.0667,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,AccInput,AccInput,NULL,NULL,NULL
