Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal,BCIConfidence,InputNumber,BCIThresholdBuffer
GameDecision,2020-11-26 14:52:30.2200,4735,779b466aa3ad21ca46456d092e67ffe2,anonymous,NULL,Closed,2,0.0007,0.0000,Running,2.2168,29,0.0333,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
MotorImagery,2020-11-26 14:52:32.5170,4899,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6045,4,(0.604 0.539 0.550 0.544 0.536 0.575 0.598 0.609 )
Rest,2020-11-26 14:52:33.0331,4936,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4830,4,(0.510 0.483 0.577 0.577 0.577 0.592 0.551 0.518 )
MotorImagery,2020-11-26 14:52:33.5345,4972,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5114,5,(0.508 0.506 0.511 0.539 0.561 0.556 0.537 0.505 )
Rest,2020-11-26 14:52:33.6736,4982,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4692,5,(0.508 0.506 0.511 0.517 0.511 0.469 0.537 0.505 )
InputWindowChange,2020-11-26 14:52:42.2226,5592,779b466aa3ad21ca46456d092e67ffe2,anonymous,NULL,Open,3,0.0000,0.0000,Running,3.9249,29,0.0333,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2020-11-26 14:52:45.6755,5839,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6706,6,(0.583 0.592 0.596 0.651 0.671 0.501 0.525 0.547 )
InputWindowChange,2020-11-26 14:52:45.6765,5839,779b466aa3ad21ca46456d092e67ffe2,anonymous,NULL,Closed,3,-2.5477,0.0000,Running,3.9249,29,0.0333,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-26 14:52:45.6770,5839,779b466aa3ad21ca46456d092e67ffe2,anonymous,NULL,Closed,3,-2.5477,0.0000,Running,3.9249,28,0.0667,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,AccInput,AccInput,NULL,NULL,NULL
Rest,2020-11-26 14:52:47.0960,5940,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4651,6,(0.539 0.523 0.509 0.503 0.465 0.601 0.581 0.566 )
MotorImagery,2020-11-26 14:52:52.9569,6360,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5918,7,(0.549 0.588 0.626 0.629 0.618 0.595 0.592 0.534 )
Rest,2020-11-26 14:52:54.2246,6451,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4809,7,(0.523 0.516 0.504 0.481 0.553 0.546 0.547 0.534 )
MotorImagery,2020-11-26 14:52:59.0838,6798,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8620,8,(0.685 0.738 0.806 0.840 0.862 0.541 0.562 0.623 )
InputWindowChange,2020-11-26 14:53:00.2261,6879,779b466aa3ad21ca46456d092e67ffe2,anonymous,NULL,Open,4,0.0000,0.0000,Running,1.8465,28,0.0667,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
Rest,2020-11-26 14:53:02.0489,7009,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4583,8,(0.728 0.654 0.566 0.551 0.538 0.518 0.458 0.783 )
MotorImagery,2020-11-26 14:53:05.4888,7255,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5281,9,(0.528 0.534 0.552 0.562 0.557 0.558 0.562 0.545 )
InputWindowChange,2020-11-26 14:53:05.4888,7255,779b466aa3ad21ca46456d092e67ffe2,anonymous,NULL,Closed,4,-0.7373,0.0000,Running,1.8465,28,0.0667,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-26 14:53:05.4899,7255,779b466aa3ad21ca46456d092e67ffe2,anonymous,NULL,Closed,4,-0.7373,0.0000,Running,1.8465,27,0.1000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,AccInput,AccInput,NULL,NULL,NULL
Rest,2020-11-26 14:53:06.6430,7337,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4931,9,(0.602 0.555 0.493 0.643 0.645 0.643 0.638 0.615 )
MotorImagery,2020-11-26 14:53:12.2407,7737,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5945,10,(0.595 0.531 0.594 0.616 0.599 0.585 0.588 0.584 )
Rest,2020-11-26 14:53:14.0511,7866,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4886,10,(0.593 0.576 0.513 0.520 0.527 0.501 0.500 0.489 )
InputWindowChange,2020-11-26 14:53:18.2302,8165,779b466aa3ad21ca46456d092e67ffe2,anonymous,NULL,Open,5,0.0000,0.0000,Running,3.5727,27,0.1000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-11-26 14:53:24.2434,8594,779b466aa3ad21ca46456d092e67ffe2,anonymous,NULL,Closed,5,0.0121,0.0000,Running,3.5727,27,0.1000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-11-26 14:53:24.2444,8594,779b466aa3ad21ca46456d092e67ffe2,anonymous,NULL,Closed,5,0.0121,0.0000,Running,3.5727,27,0.1000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
MotorImagery,2020-11-26 14:53:24.9127,8642,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6023,11,(0.604 0.593 0.594 0.595 0.602 0.529 0.587 0.595 )
Rest,2020-11-26 14:53:25.4276,8679,779b466aa3ad21ca46456d092e67ffe2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4965,11,(0.591 0.586 0.566 0.542 0.533 0.496 0.593 0.576 )
