Event,Timestamp,Framecount,SessionID,Email,BCIState,BCIConfidence,InputNumber,BCIThresholdBuffer,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal
BCIStateUpdated,2021-05-06 17:49:17.3793,1,5cc3ba4dcabac48a62c871bdec680230,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-05-06 17:49:20.4098,11,5cc3ba4dcabac48a62c871bdec680230,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-05-06 17:49:20.4483,12,5cc3ba4dcabac48a62c871bdec680230,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 17:49:22.0812,127,5cc3ba4dcabac48a62c871bdec680230,anonymous,ReceivingData,0.4608,1,(0.318 0.314 0.306 0.403 0.461 0.308 0.344 0.348 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 17:49:23.2348,210,5cc3ba4dcabac48a62c871bdec680230,anonymous,ReceivingData,0.2840,1,(0.443 0.468 0.475 0.453 0.327 0.311 0.316 0.284 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 17:49:23.6393,239,5cc3ba4dcabac48a62c871bdec680230,anonymous,ReceivingData,0.3357,2,(0.308 0.407 0.411 0.418 0.406 0.392 0.364 0.336 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 17:49:23.9035,258,5cc3ba4dcabac48a62c871bdec680230,anonymous,ReceivingData,0.2997,2,(0.322 0.317 0.300 0.418 0.406 0.392 0.364 0.336 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 17:49:25.5452,376,5cc3ba4dcabac48a62c871bdec680230,anonymous,ReceivingData,0.4122,3,(0.514 0.528 0.523 0.513 0.442 0.412 0.382 0.452 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 17:49:26.0744,413,5cc3ba4dcabac48a62c871bdec680230,anonymous,ReceivingData,0.2960,3,(0.434 0.471 0.482 0.499 0.518 0.463 0.347 0.296 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 17:49:27.7146,524,5cc3ba4dcabac48a62c871bdec680230,anonymous,ReceivingData,0.3133,4,(0.308 0.306 0.313 0.302 0.374 0.374 0.358 0.314 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 17:49:27.9792,543,5cc3ba4dcabac48a62c871bdec680230,anonymous,ReceivingData,0.2930,4,(0.308 0.306 0.313 0.324 0.347 0.357 0.321 0.293 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 17:49:37.1838,1198,5cc3ba4dcabac48a62c871bdec680230,anonymous,ReceivingData,0.5670,5,(0.588 0.567 0.320 0.353 0.439 0.553 0.596 0.607 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 17:49:37.9749,1255,5cc3ba4dcabac48a62c871bdec680230,anonymous,ReceivingData,0.2314,5,(0.574 0.580 0.587 0.481 0.466 0.371 0.231 0.552 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 17:49:40.4952,1436,5cc3ba4dcabac48a62c871bdec680230,anonymous,ReceivingData,0.5026,6,(0.320 0.329 0.336 0.352 0.358 0.392 0.458 0.503 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
