Event,Timestamp,Framecount,SessionID,Email,BCIConfidence,BCIState
Sample,2021-05-04 14:30:30.1961,12,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7263,ReceivingData
Sample,2021-05-04 14:30:30.2213,13,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7594,ReceivingData
Sample,2021-05-04 14:30:30.3016,16,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7597,ReceivingData
Sample,2021-05-04 14:30:30.3282,17,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7872,ReceivingData
Sample,2021-05-04 14:30:30.4398,21,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7836,ReceivingData
Sample,2021-05-04 14:30:30.4672,22,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7678,ReceivingData
Sample,2021-05-04 14:30:30.4950,23,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7779,ReceivingData
Sample,2021-05-04 14:30:30.5515,25,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7864,ReceivingData
Sample,2021-05-04 14:30:30.5792,26,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7659,ReceivingData
Sample,2021-05-04 14:30:30.6910,30,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7366,ReceivingData
Sample,2021-05-04 14:30:30.7183,31,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6930,ReceivingData
Sample,2021-05-04 14:30:30.8304,35,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6860,ReceivingData
Sample,2021-05-04 14:30:30.8584,36,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6645,ReceivingData
Sample,2021-05-04 14:30:30.9418,39,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6589,ReceivingData
Sample,2021-05-04 14:30:30.9702,40,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6522,ReceivingData
Sample,2021-05-04 14:30:31.0810,44,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6474,ReceivingData
Sample,2021-05-04 14:30:31.1086,45,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6427,ReceivingData
Sample,2021-05-04 14:30:31.1919,49,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6396,ReceivingData
Sample,2021-05-04 14:30:31.2074,50,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6416,ReceivingData
Sample,2021-05-04 14:30:31.3219,58,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6372,ReceivingData
Sample,2021-05-04 14:30:31.3356,59,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.5964,ReceivingData
Sample,2021-05-04 14:30:31.3501,60,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.5659,ReceivingData
Sample,2021-05-04 14:30:31.4616,68,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.5861,ReceivingData
Sample,2021-05-04 14:30:31.4765,69,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.5517,ReceivingData
Sample,2021-05-04 14:30:31.5880,77,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.5377,ReceivingData
Sample,2021-05-04 14:30:31.6012,78,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.5447,ReceivingData
Sample,2021-05-04 14:30:31.7126,86,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6187,ReceivingData
Sample,2021-05-04 14:30:31.7271,87,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6354,ReceivingData
Sample,2021-05-04 14:30:31.8381,95,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6620,ReceivingData
Sample,2021-05-04 14:30:31.8526,96,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6185,ReceivingData
Sample,2021-05-04 14:30:31.9635,104,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.5792,ReceivingData
Sample,2021-05-04 14:30:31.9781,105,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.5944,ReceivingData
Sample,2021-05-04 14:30:32.1029,114,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.5687,ReceivingData
Sample,2021-05-04 14:30:32.1168,115,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.5631,ReceivingData
Sample,2021-05-04 14:30:32.2282,123,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.5228,ReceivingData
Sample,2021-05-04 14:30:32.2421,124,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.4989,ReceivingData
Sample,2021-05-04 14:30:32.3535,132,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.5104,ReceivingData
Sample,2021-05-04 14:30:32.3666,133,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.5299,ReceivingData
Sample,2021-05-04 14:30:32.3816,134,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.5718,ReceivingData
Sample,2021-05-04 14:30:32.4789,141,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.5940,ReceivingData
Sample,2021-05-04 14:30:32.4929,142,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6063,ReceivingData
Sample,2021-05-04 14:30:32.6051,150,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6085,ReceivingData
Sample,2021-05-04 14:30:32.6195,151,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6667,ReceivingData
Sample,2021-05-04 14:30:32.7432,160,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7142,ReceivingData
Sample,2021-05-04 14:30:32.7579,161,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7204,ReceivingData
Sample,2021-05-04 14:30:32.8700,169,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7144,ReceivingData
Sample,2021-05-04 14:30:32.8841,170,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7188,ReceivingData
Sample,2021-05-04 14:30:32.9938,178,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7425,ReceivingData
Sample,2021-05-04 14:30:33.0074,179,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7233,ReceivingData
Sample,2021-05-04 14:30:33.1198,187,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7372,ReceivingData
Sample,2021-05-04 14:30:33.1320,188,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7356,ReceivingData
Sample,2021-05-04 14:30:33.2440,196,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7726,ReceivingData
Sample,2021-05-04 14:30:33.2578,197,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7559,ReceivingData
Sample,2021-05-04 14:30:33.2711,198,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7353,ReceivingData
Sample,2021-05-04 14:30:33.3688,205,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7202,ReceivingData
Sample,2021-05-04 14:30:33.3830,206,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7238,ReceivingData
Sample,2021-05-04 14:30:33.5081,215,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7149,ReceivingData
Sample,2021-05-04 14:30:33.5224,216,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.7126,ReceivingData
Sample,2021-05-04 14:30:33.6334,224,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6872,ReceivingData
Sample,2021-05-04 14:30:33.6475,225,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6325,ReceivingData
Sample,2021-05-04 14:30:33.7590,233,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.5605,ReceivingData
Sample,2021-05-04 14:30:33.7731,234,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6121,ReceivingData
Sample,2021-05-04 14:30:33.8842,242,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6313,ReceivingData
Sample,2021-05-04 14:30:33.8982,243,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6297,ReceivingData
Sample,2021-05-04 14:30:34.0093,251,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6515,ReceivingData
Sample,2021-05-04 14:30:34.0243,252,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6512,ReceivingData
Sample,2021-05-04 14:30:34.1494,261,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6251,ReceivingData
Sample,2021-05-04 14:30:34.1631,262,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6263,ReceivingData
Sample,2021-05-04 14:30:34.2745,270,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6335,ReceivingData
Sample,2021-05-04 14:30:34.2882,271,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6443,ReceivingData
Sample,2021-05-04 14:30:34.3018,272,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6951,ReceivingData
Sample,2021-05-04 14:30:34.3993,279,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6761,ReceivingData
Sample,2021-05-04 14:30:34.4136,280,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6049,ReceivingData
Sample,2021-05-04 14:30:34.5244,287,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6356,ReceivingData
Sample,2021-05-04 14:30:34.5524,288,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6177,ReceivingData
Sample,2021-05-04 14:30:34.6518,295,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.6079,ReceivingData
Sample,2021-05-04 14:30:34.6674,296,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.5175,ReceivingData
Sample,2021-05-04 14:30:34.7708,303,5f29f3c30d7276e186179d57bc5fb12f,anonymous,0.5074,ReceivingData
