Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
BCIStateUpdated,2020-12-01 10:52:42.0095,1,fef5fd0c5de123df7b57367ee43d1058,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-12-01 10:52:45.4630,9,fef5fd0c5de123df7b57367ee43d1058,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-12-01 10:52:45.5330,13,fef5fd0c5de123df7b57367ee43d1058,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2020-12-01 10:53:38.7106,3767,fef5fd0c5de123df7b57367ee43d1058,anonymous,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2020-12-01 10:53:43.9390,4126,fef5fd0c5de123df7b57367ee43d1058,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7763,1,(0.776 0.702 0.714 0.727 0.749 0.759 0.778 0.757 ),NULL
Rest,2020-12-01 10:53:45.3729,4228,fef5fd0c5de123df7b57367ee43d1058,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6398,1,(0.640 0.838 0.838 0.847 0.870 0.890 0.840 0.691 ),NULL
InputWindowChange,2020-12-01 10:53:50.6952,4610,fef5fd0c5de123df7b57367ee43d1058,anonymous,NULL,Open,0,0.0000,0.0000,Running,3.1646,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-12-01 10:53:56.6935,5041,fef5fd0c5de123df7b57367ee43d1058,anonymous,NULL,Closed,0,0.0018,0.0000,Running,3.1646,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-12-01 10:53:56.7010,5041,fef5fd0c5de123df7b57367ee43d1058,anonymous,NULL,Closed,0,0.0018,0.0000,Running,3.1646,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2020-12-01 10:54:08.6964,5894,fef5fd0c5de123df7b57367ee43d1058,anonymous,NULL,Open,1,0.0000,0.0000,Running,3.1405,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2020-12-01 10:54:12.7616,6186,fef5fd0c5de123df7b57367ee43d1058,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7903,2,(0.792 0.790 0.661 0.690 0.709 0.736 0.779 0.801 ),NULL
InputWindowChange,2020-12-01 10:54:12.7626,6186,fef5fd0c5de123df7b57367ee43d1058,anonymous,NULL,Closed,1,-1.9345,0.0000,Running,3.1405,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-12-01 10:54:12.7681,6186,fef5fd0c5de123df7b57367ee43d1058,anonymous,NULL,Closed,1,-1.9345,0.0000,Running,3.1405,29,0.0333,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,AccInput,NULL,NULL,NULL,AccInput
Rest,2020-12-01 10:54:13.6676,6251,fef5fd0c5de123df7b57367ee43d1058,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6414,2,(0.641 0.828 0.800 0.775 0.760 0.755 0.712 0.682 ),NULL
InputWindowChange,2020-12-01 10:54:26.7005,7187,fef5fd0c5de123df7b57367ee43d1058,anonymous,NULL,Open,2,0.0000,0.0000,Running,2.0122,29,0.0333,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2020-12-01 10:54:32.7155,7619,fef5fd0c5de123df7b57367ee43d1058,anonymous,NULL,Closed,2,0.0145,0.0000,Running,2.0122,29,0.0333,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-12-01 10:54:32.7165,7619,fef5fd0c5de123df7b57367ee43d1058,anonymous,NULL,Closed,2,0.0145,0.0000,Running,2.0122,29,0.0333,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
MotorImagery,2020-12-01 10:54:41.8906,8242,fef5fd0c5de123df7b57367ee43d1058,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5889,3,(0.589 0.506 0.523 0.526 0.554 0.549 0.555 0.570 ),NULL
