Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
MotorImagery,2020-12-01 09:40:53.6568,5920,ad874ab910d97092cca9ae6d661e3e0f,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6598,5,(0.667 0.660 0.650 0.676 0.673 0.677 0.662 0.699 ),NULL
Rest,2020-12-01 09:40:54.0468,5948,ad874ab910d97092cca9ae6d661e3e0f,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6107,5,(0.665 0.611 0.682 0.710 0.757 0.751 0.757 0.732 ),NULL
InputWindowChange,2020-12-01 09:40:54.2972,5966,ad874ab910d97092cca9ae6d661e3e0f,anonymous,NULL,Open,2,0.0000,0.0000,Running,3.1857,28,0.0667,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2020-12-01 09:40:57.3742,6186,ad874ab910d97092cca9ae6d661e3e0f,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8070,6,(0.807 0.674 0.734 0.713 0.736 0.766 0.797 0.804 ),NULL
InputWindowChange,2020-12-01 09:40:57.3748,6186,ad874ab910d97092cca9ae6d661e3e0f,anonymous,NULL,Closed,2,-2.9212,0.0000,Running,3.1857,28,0.0667,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2020-12-01 09:40:57.3748,6186,ad874ab910d97092cca9ae6d661e3e0f,anonymous,NULL,Closed,2,-2.9212,0.0000,Running,3.1857,27,0.1000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,AccInput,NULL,NULL,NULL,AccInput
Rest,2020-12-01 09:40:58.6552,6277,ad874ab910d97092cca9ae6d661e3e0f,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5681,6,(0.764 0.782 0.804 0.810 0.731 0.661 0.568 0.757 ),NULL
MotorImagery,2020-12-01 09:41:08.8472,6967,ad874ab910d97092cca9ae6d661e3e0f,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7685,7,(0.715 0.758 0.790 0.756 0.745 0.748 0.754 0.769 ),NULL
Rest,2020-12-01 09:41:09.0979,6985,ad874ab910d97092cca9ae6d661e3e0f,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6684,7,(0.780 0.781 0.731 0.668 0.745 0.748 0.754 0.769 ),NULL
InputWindowChange,2020-12-01 09:41:12.3009,7214,ad874ab910d97092cca9ae6d661e3e0f,anonymous,NULL,Open,3,0.0000,0.0000,Running,1.2034,27,0.1000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
