Event,Timestamp,Framecount,SessionID,Email,BCIState,BCIConfidence,InputNumber,BCIThresholdBuffer,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal
BCIStateUpdated,2021-05-06 11:12:49.1483,1,161da00a06a0814e16e375a4dbc6a3a7,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-05-06 11:12:52.1381,13,161da00a06a0814e16e375a4dbc6a3a7,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-05-06 11:12:52.2444,15,161da00a06a0814e16e375a4dbc6a3a7,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 11:12:52.5988,40,161da00a06a0814e16e375a4dbc6a3a7,anonymous,ReceivingData,0.4795,1,(0.406 0.383 0.425 0.451 0.460 0.469 0.475 0.479 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 11:12:58.5946,460,161da00a06a0814e16e375a4dbc6a3a7,anonymous,ReceivingData,0.2689,1,(0.323 0.325 0.309 0.269 0.327 0.327 0.316 0.321 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 11:12:59.8624,551,161da00a06a0814e16e375a4dbc6a3a7,anonymous,ReceivingData,0.3975,2,(0.397 0.313 0.324 0.332 0.340 0.355 0.361 0.382 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 11:13:01.7981,690,161da00a06a0814e16e375a4dbc6a3a7,anonymous,ReceivingData,0.2708,2,(0.271 0.414 0.423 0.437 0.402 0.368 0.342 0.303 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 11:13:05.1223,927,161da00a06a0814e16e375a4dbc6a3a7,anonymous,ReceivingData,0.3148,3,(0.309 0.327 0.324 0.332 0.329 0.338 0.330 0.315 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 11:13:06.1536,1000,161da00a06a0814e16e375a4dbc6a3a7,anonymous,ReceivingData,0.2842,3,(0.327 0.305 0.284 0.376 0.371 0.375 0.344 0.332 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 11:13:08.1859,1147,161da00a06a0814e16e375a4dbc6a3a7,anonymous,ReceivingData,0.3373,4,(0.365 0.372 0.357 0.341 0.337 0.355 0.378 0.375 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 11:13:12.5723,1462,161da00a06a0814e16e375a4dbc6a3a7,anonymous,ReceivingData,0.2879,4,(0.331 0.315 0.306 0.288 0.426 0.341 0.323 0.321 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 11:13:13.5623,1533,161da00a06a0814e16e375a4dbc6a3a7,anonymous,ReceivingData,0.3465,5,(0.365 0.375 0.384 0.388 0.367 0.346 0.326 0.354 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 11:13:14.3260,1588,161da00a06a0814e16e375a4dbc6a3a7,anonymous,ReceivingData,0.2581,5,(0.312 0.258 0.348 0.354 0.378 0.391 0.405 0.382 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 11:13:15.8716,1687,161da00a06a0814e16e375a4dbc6a3a7,anonymous,ReceivingData,0.4298,6,(0.396 0.416 0.442 0.438 0.430 0.328 0.361 0.368 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2021-05-06 11:13:17.7667,1823,161da00a06a0814e16e375a4dbc6a3a7,anonymous,ReceivingData,0.2740,6,(0.421 0.411 0.329 0.274 0.456 0.454 0.466 0.427 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2021-05-06 11:13:18.6866,1889,161da00a06a0814e16e375a4dbc6a3a7,anonymous,ReceivingData,0.5507,7,(0.406 0.442 0.540 0.551 0.305 0.402 0.508 0.368 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2021-05-06 11:13:20.7429,2036,161da00a06a0814e16e375a4dbc6a3a7,anonymous,NULL,NULL,NULL,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
