Event,Timestamp,Framecount,SessionID,Email,BCIState,BCIConfidence,InputNumber,BCIThresholdBuffer,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal
BCIStateUpdated,2020-12-01 11:04:28.4977,1,5a20de344ef50ce794a8ba8ca1c77460,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-12-01 11:04:31.9752,5,5a20de344ef50ce794a8ba8ca1c77460,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2020-12-01 11:04:32.1286,12,5a20de344ef50ce794a8ba8ca1c77460,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-01 11:04:35.0557,220,5a20de344ef50ce794a8ba8ca1c77460,anonymous,ReceivingData,0.7116,1,(0.729 0.712 0.747 0.806 0.795 0.770 0.738 0.726 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-01 11:04:35.0683,221,5a20de344ef50ce794a8ba8ca1c77460,anonymous,ReceivingData,0.6568,1,(0.729 0.712 0.657 0.806 0.795 0.770 0.738 0.726 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2020-12-01 11:04:47.0719,1082,5a20de344ef50ce794a8ba8ca1c77460,anonymous,NULL,NULL,NULL,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
MotorImagery,2020-12-01 11:04:51.9108,1402,5a20de344ef50ce794a8ba8ca1c77460,anonymous,ReceivingData,0.6415,2,(0.614 0.608 0.628 0.641 0.539 0.603 0.633 0.582 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-01 11:04:52.9415,1460,5a20de344ef50ce794a8ba8ca1c77460,anonymous,ReceivingData,0.4908,2,(0.588 0.576 0.543 0.521 0.491 0.563 0.532 0.572 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2020-12-01 11:04:59.0553,1865,5a20de344ef50ce794a8ba8ca1c77460,anonymous,NULL,NULL,NULL,NULL,Open,0,0.0000,0.0000,Running,3.6173,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
InputWindowChange,2020-12-01 11:05:05.0558,2274,5a20de344ef50ce794a8ba8ca1c77460,anonymous,NULL,NULL,NULL,NULL,Closed,0,0.0051,0.0000,Running,3.6173,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
